,city,year,month,sales,volume,median,listings,inventory,date
0,Abilene,2000,1,72.0,5380000.0,71400.0,701.0,6.3,2000.0
1,Abilene,2000,2,98.0,6505000.0,58700.0,746.0,6.6,2000.08333333333
2,Abilene,2000,3,130.0,9285000.0,58100.0,784.0,6.8,2000.16666666667
3,Abilene,2000,4,98.0,9730000.0,68600.0,785.0,6.9,2000.25
4,Abilene,2000,5,141.0,10590000.0,67300.0,794.0,6.8,2000.33333333333
5,Abilene,2000,6,156.0,13910000.0,66900.0,780.0,6.6,2000.41666666667
6,Abilene,2000,7,152.0,12635000.0,73500.0,742.0,6.2,2000.5
7,Abilene,2000,8,131.0,10710000.0,75000.0,765.0,6.4,2000.58333333333
8,Abilene,2000,9,104.0,7615000.0,64500.0,771.0,6.5,2000.66666666667
9,Abilene,2000,10,101.0,7040000.0,59300.0,764.0,6.6,2000.75
10,Abilene,2000,11,100.0,7890000.0,70900.0,721.0,6.2,2000.83333333333
11,Abilene,2000,12,92.0,7285000.0,65000.0,658.0,5.7,2000.91666666667
12,Abilene,2001,1,75.0,5730000.0,64500.0,779.0,6.8,2001.0
13,Abilene,2001,2,112.0,8670000.0,68900.0,700.0,6.0,2001.08333333333
14,Abilene,2001,3,118.0,9550000.0,72300.0,738.0,6.4,2001.16666666667
15,Abilene,2001,4,105.0,8705000.0,71500.0,810.0,7.0,2001.25
16,Abilene,2001,5,150.0,11850000.0,71000.0,772.0,6.6,2001.33333333333
17,Abilene,2001,6,139.0,11290000.0,78100.0,825.0,7.2,2001.41666666667
18,Abilene,2001,7,134.0,13175000.0,86700.0,801.0,7.1,2001.5
19,Abilene,2001,8,151.0,11840000.0,69000.0,891.0,7.7,2001.58333333333
20,Abilene,2001,9,116.0,8395000.0,64200.0,849.0,7.3,2001.66666666667
21,Abilene,2001,10,121.0,9010000.0,64600.0,756.0,6.4,2001.75
22,Abilene,2001,11,116.0,8955000.0,69100.0,695.0,5.8,2001.83333333333
23,Abilene,2001,12,94.0,7195000.0,71800.0,620.0,5.2,2001.91666666667
24,Abilene,2002,1,94.0,6530000.0,64000.0,652.0,5.4,2002.0
25,Abilene,2002,2,94.0,6860000.0,62900.0,746.0,6.3,2002.08333333333
26,Abilene,2002,3,107.0,8385000.0,62100.0,774.0,6.5,2002.16666666667
27,Abilene,2002,4,135.0,10465000.0,66900.0,767.0,6.3,2002.25
28,Abilene,2002,5,154.0,11465000.0,69200.0,778.0,6.4,2002.33333333333
29,Abilene,2002,6,136.0,11600000.0,76700.0,758.0,6.3,2002.41666666667
30,Abilene,2002,7,159.0,13500000.0,73900.0,746.0,6.1,2002.5
31,Abilene,2002,8,155.0,12875000.0,82200.0,709.0,5.7,2002.58333333333
32,Abilene,2002,9,133.0,9965000.0,67300.0,703.0,5.6,2002.66666666667
33,Abilene,2002,10,134.0,10395000.0,73600.0,664.0,5.3,2002.75
34,Abilene,2002,11,107.0,8485000.0,59400.0,643.0,5.1,2002.83333333333
35,Abilene,2002,12,108.0,8150000.0,65000.0,649.0,5.1,2002.91666666667
36,Abilene,2003,1,68.0,5385000.0,70000.0,668.0,5.4,2003.0
37,Abilene,2003,2,110.0,8500000.0,72300.0,716.0,5.7,2003.08333333333
